,Planet Name,Detection Method,Orbital Period,Orbit Semi-Major Axis,Planet Radius,Planet Mass,Insolation Flux,Stellar Effective Temperature,Stellar Radius,RA [degree],Dec [degree],Habitable Zone Flag,Planet Classification
786,HD 24064 b,Radial Velocity,535.59998,1.29,12.3,4096.8287,,4052.0,40.0,59.1510071,74.0800789,FALSE,Jovians
787,HD 24085 b,Radial Velocity,2.0455,0.034,3.46,11.8,,6034.0,1.41,56.2563447,-70.0245193,FALSE,sub-Neptunes
788,HD 25015 b,Radial Velocity,6019.32,6.19,12.9,1423.8784,,5160.0,0.83,59.4335463,-20.2673347,FALSE,Jovians
789,HD 25171 b,Radial Velocity,1802.29,2.971,13.9,290.81445,,6125.0,1.23,58.9574779,-65.1863239,FALSE,Jovians
790,HD 26161 b,Radial Velocity,32000.0,20.4,12.3,4290.68349,,6057.62,1.46,62.4122255,31.6524346,FALSE,Jovians
791,HD 2638 b,Radial Velocity,3.4442,0.04,14.3,133.4886,,5186.0,0.94,7.4990038,-5.76496,FALSE,Jovians
792,HD 2685 b,Transit,4.12688,0.0568,16.141,371.8611,1451.24,6801.0,1.56,7.3289156,-76.304032,FALSE,
793,HD 26965 b,Radial Velocity,42.378,,2.84,8.47,,5072.0,0.87,63.8082666,-7.6676027,,sub-Neptunes
794,HD 27442 b,Radial Velocity,428.1,1.271,13.5,495.8,,4846.0,3.18,64.1205476,-59.3028771,FALSE,Jovians
795,HD 27631 b,Radial Velocity,2198.14,3.242,13.6,474.83802,,5737.0,0.92,64.9392168,-41.9606604,FALSE,Jovians
796,HD 27894 b,Radial Velocity,18.02,0.125,14.1,211.35695,,4875.0,0.89,65.1975693,-59.4096776,FALSE,Jovians
797,HD 27894 c,Radial Velocity,36.07,0.198,8.24,51.48846,,4894.0,0.89,65.1975693,-59.4096776,FALSE,Jovians
798,HD 27894 d,Radial Velocity,5174.0,5.448,12.8,1721.04945,,4894.0,0.89,65.1975693,-59.4096776,FALSE,Jovians
799,HD 28185 b,Radial Velocity,379.0,1.02,12.8,1875.197,,5662.0,1.03,66.6100461,-10.5510754,TRUE,Jovians
800,HD 28254 b,Radial Velocity,1116.0,2.15,13.7,368.67,,5664.0,1.48,66.2108141,-50.6228081,TRUE,Jovians
801,HD 285507 b,Radial Velocity,6.0881,0.06,13.8,311.4734,,4503.0,0.69,61.755663,15.3349441,FALSE,Jovians
802,HD 285968 b,Radial Velocity,8.7836,0.066,2.83,8.4,,3703.49,0.48,70.7353853,18.953358,FALSE,sub-Neptunes
803,HD 28678 b,Radial Velocity,380.2,1.18,13.5,490.09386,,4972.0,6.48,67.8560643,4.5752495,FALSE,Jovians
804,HD 29021 b,Radial Velocity,1362.3,2.28,13.3,762.792,,5560.0,0.85,69.4681379,60.6762985,FALSE,Jovians
805,HD 290327 b,Radial Velocity,2443.0,3.43,13.3,772.3269,,5505.0,0.95,80.8399887,-2.2780391,FALSE,Jovians
806,HD 2952 b,Radial Velocity,311.60001,1.23,13.6,435.4271,,4844.0,10.76,8.2938367,54.8948177,FALSE,Jovians
807,HD 30177 b,Radial Velocity,2527.83,3.704,12.6,2740.33026,,5607.0,1.02,70.4770964,-58.0208085,FALSE,Jovians
808,HD 30177 c,Radial Velocity,11613.0,9.89,12.6,2415.508,,5580.0,1.18,70.4770964,-58.0208085,FALSE,Jovians
809,HD 30562 b,Radial Velocity,1157.0,2.34,13.7,387.7526,,5882.0,1.61,72.1529519,-5.6751152,TRUE,Jovians
810,HD 30669 b,Radial Velocity,1684.0,2.69,14.3,149.37,,5400.0,0.91,72.1198522,-28.4190757,FALSE,Jovians
811,HD 30856 b,Radial Velocity,847.0,1.85,13.5,491.68301,,4895.0,4.4,72.5745099,-24.3689282,FALSE,Jovians
812,HD 31253 b,Radial Velocity,466.0,1.26,14.1,197.0546,,6130.0,1.75,73.6822877,12.3520103,FALSE,Jovians
813,HD 31527 b,Radial Velocity,16.5535,0.1254,3.22,10.47,,5898.0,1.07,73.9096193,-23.2413163,FALSE,sub-Neptunes
814,HD 31527 c,Radial Velocity,51.2053,0.2663,3.85,14.16,,5898.0,1.07,73.9096193,-23.2413163,FALSE,sub-Jovians
815,HD 31527 d,Radial Velocity,271.6737,0.8098,3.46,11.82,,5898.0,1.07,73.9096193,-23.2413163,FALSE,sub-Neptunes
816,HD 3167 b,Transit,0.959624,0.0186,1.7,5.02,1625.0,5528.0,0.87,8.7401487,4.3807215,FALSE,Super Earths
817,HD 3167 c,Transit,29.83832,0.1841,2.86,9.8,16.6,5528.0,0.87,8.7401487,4.3807215,FALSE,sub-Neptunes
818,HD 3167 d,Transit,8.509,0.07757,2.52,6.9,88.9,5261.0,0.86,8.7401487,4.3807215,FALSE,sub-Neptunes
819,HD 32518 b,Radial Velocity,157.54,0.59,13.1,966.16,,4580.0,10.22,77.4037569,69.6391355,FALSE,Jovians
820,HD 32963 b,Radial Velocity,2372.0,3.41,14.0,222.481,,5727.0,1.11,76.9820146,26.3276805,FALSE,Jovians
821,HD 330075 b,Radial Velocity,3.38773,0.04,14.3,152.5584,,5000.0,0.84,237.4054997,-49.9639199,FALSE,Jovians
822,HD 331093 b,Radial Velocity,621.62,1.44,13.6,476.74261,,5544.0,1.11,295.6200054,31.7395451,TRUE,Jovians
823,HD 33142 b,Radial Velocity,326.0,1.07,13.6,440.19455,,4978.0,4.45,76.8980559,-13.9863374,FALSE,Jovians
824,HD 33142 c,Radial Velocity,834.0,,12.8,1897.4451,,5009.0,4.14,76.8980559,-13.9863374,,Jovians
825,HD 332231 b,Transit,18.71204,0.1436,9.718,77.55052,98.09,6089.0,1.28,306.741134,33.7443882,FALSE,Jovians
826,HD 33283 b,Radial Velocity,18.1991,0.1508,12.5,104.56607,,5935.0,1.97,77.0044889,-26.7976689,FALSE,Jovians
827,HD 33564 b,Radial Velocity,388.0,1.1,12.5,2892.1,,6250.0,1.44,80.6378979,79.2318488,FALSE,Jovians
828,HD 33844 b,Radial Velocity,551.40002,1.6,13.4,638.8383,,4861.0,5.39,78.1505649,-14.9509775,FALSE,Jovians
829,HD 33844 c,Radial Velocity,916.0,2.24,13.5,556.2025,,4861.0,5.29,78.1505649,-14.9509775,FALSE,Jovians
830,HD 34445 b,Radial Velocity,1049.0,2.07,13.9,260.6206,,5879.0,1.38,79.4207483,7.3527156,TRUE,Jovians
831,HD 34445 c,Radial Velocity,214.67,0.7181,8.42,53.5,,5836.0,1.38,79.4207483,7.3527156,FALSE,Jovians
832,HD 34445 d,Radial Velocity,117.87,0.4817,6.07,30.7,,5836.0,1.38,79.4207483,7.3527156,FALSE,Jovians
833,HD 34445 e,Radial Velocity,49.175,0.2687,4.26,16.8,,5836.0,1.38,79.4207483,7.3527156,FALSE,sub-Jovians
834,HD 34445 f,Radial Velocity,676.8,1.543,6.88,37.9,,5836.0,1.38,79.4207483,7.3527156,TRUE,Jovians
835,HD 34445 g,Radial Velocity,5700.0,6.36,13.6,120.6,,5836.0,1.38,79.4207483,7.3527156,FALSE,Jovians
836,HD 35759 b,Radial Velocity,82.467,0.389,13.0,1195.0408,,6060.0,1.76,82.8886636,64.3183753,FALSE,Jovians
837,HD 3651 b,Radial Velocity,62.25,0.295,10.1,72.46524,,5221.0,0.87,9.8387218,21.2488844,FALSE,Jovians
838,HD 37124 b,Radial Velocity,154.378,0.53364,14.0,214.53525,,5698.64,0.95,84.2599947,20.7289784,FALSE,Jovians
839,HD 37124 c,Radial Velocity,885.5,1.71,14.1,207.22516,,5698.64,0.95,84.2599947,20.7289784,FALSE,Jovians
840,HD 37124 d,Radial Velocity,1862.0,2.807,14.0,221.20968,,5698.64,0.95,84.2599947,20.7289784,FALSE,Jovians
